sex,height,weight,IOCT_Time,pu_score,su_score,run_score,CS,APFT_Score
F,67,134,203,108,112,112,0,332
F,63,121,197,123,118,125,1,366
M,72,176,150,125,109,125,0,359
F,68,168,235,65,86,72,0,223
F,65,149,210,108,114,115,1,337
M,74,176,203,96,100,100,0,296
F,68,138,220,107,109,104,0,320
M,66,163,170,100,87,100,1,287
M,68,166,183,82,86,83,0,251
F,64,129,231,100,100,98,0,298
M,69,150,168,102,107,106,0,315
F,63,147,345,79,100,81,1,260
M,77,181,171,72,57,67,0,196
M,67,151,168,104,103,116,0,323
F,73,163,260,111,117,105,0,333
M,71,164,186,83,100,96,0,279
M,72,177,166,90,82,79,0,251
M,73,215,176,93,84,68,0,245
F,65,150,213,93,86,96,0,275
M,66,155,167,100,100,92,0,292
M,69,154,175,79,74,81,0,234
F,62,135,248,100,47,93,0,240
F,63,124,266,100,79,96,1,275
F,63,138,233,79,66,99,0,244
M,72,165,172,89,86,75,0,250
M,71,189,173,100,97,83,0,280
M,69,164,191,92,100,71,0,263
F,67,166,299,100,73,62,1,235
F,70,175,282,100,100,76,0,276
M,76,230,182,104,117,100,0,321
F,68,153,347,77,76,100,0,253
M,74,195,214,64,100,100,0,264
M,65,143,164,125,103,125,0,353
M,72,164,188,77,86,63,0,226
M,76,175,150,94,100,100,0,294
M,73,168,257,72,87,92,0,251
M,68,157,180,113,111,106,0,330
M,71,164,172,100,94,79,0,273
M,67,160,186,100,100,77,1,277
M,73,188,152,125,110,114,0,349
F,64,135,237,100,92,92,0,284
M,72,224,192,100,87,64,0,251
F,67,150,299,105,103,106,0,314
M,72,171,174,100,100,71,0,271
M,69,145,167,88,97,100,0,285
M,73,206,198,78,84,86,0,248
M,74,167,185,78,97,100,0,275
M,72,191,206,85,82,74,1,241
M,69,192,186,100,84,86,0,270
M,69,175,226,82,98,85,0,265
F,64,155,349,100,100,99,0,299
M,72,155,187,81,65,88,0,234
F,65,171,329,92,100,63,0,255
M,68,155,179,72,68,86,0,226
M,68,173,236,85,78,71,0,234
M,70,199,178,79,95,85,0,259
M,73,203,175,94,82,99,0,275
M,68,149,147,100,100,77,0,277
F,63,137,234,114,109,113,0,336
M,71,170,160,100,87,77,1,264
M,72,185,152,100,106,122,0,328
F,66,140,195,101,103,122,0,326
F,69,136,231,79,87,94,0,260
M,68,171,166,113,116,125,1,354
M,73,180,167,72,82,88,1,242
M,67,142,147,100,100,86,0,286
M,66,124,149,93,95,100,0,288
F,64,121,202,112,104,118,1,334
M,66,158,200,100,100,74,0,274
M,71,169,165,79,76,100,0,255
M,72,182,229,94,100,67,0,261
M,70,180,181,100,82,63,0,245
M,69,173,179,107,104,104,0,315
M,70,157,183,93,95,93,0,281
M,68,154,163,89,94,100,0,283
F,65,133,356,93,73,72,0,238
M,74,213,173,92,78,100,0,270
F,66,138,250,100,86,90,1,276
M,67,160,185,93,86,60,0,239
F,62,127,256,100,90,99,1,289
M,71,185,153,118,114,110,1,342
M,71,178,179,87,95,74,0,256
M,68,138,193,64,65,66,0,195
M,72,150,184,94,89,74,0,257
F,65,155,278,88,68,67,0,223
M,72,192,146,102,101,125,0,328
F,66,138,274,88,92,100,0,280
M,71,158,175,75,76,79,0,230
F,64,140,211,100,98,100,0,298
F,66,151,288,91,58,100,1,249
M,74,175,159,94,97,100,0,291
M,69,191,164,100,100,89,0,289
M,70,184,165,100,100,96,0,296
M,72,163,177,94,100,89,0,283
M,69,169,174,100,97,61,0,258
M,69,210,170,100,100,81,1,281
M,72,178,250,72,82,59,0,213
M,69,154,186,90,86,81,0,257
M,70,191,164,100,100,72,0,272
M,69,185,193,100,87,81,0,268
M,70,177,161,100,100,79,1,279
F,65,114,201,100,82,100,0,282
